NIS,NIS_code,unemployed,foreigners,euforeigners,noneuforeigners,degree,bornabroad,borneu,bornnoneu,density,age,NL,FR,Reg_NL,income
24059,24059,0.043,0.0288,0.0171,0.0116,0.255,0.0567,0.0242,0.0325,286.05,42.542013628,Landen,Landen,Vlaams Gewest,18417
24133,24133,0.0318,0.0144,0.009,0.0054,0.2441,0.0307,0.0148,0.0159,195.19,42.983354116,Linter,Linter,Vlaams Gewest,18548
24062,24062,0.0425,0.1578,0.0731,0.0847,0.4992,0.2081,0.0726,0.1355,1717.58,39.746998487,Leuven,Louvain,Vlaams Gewest,19302
24066,24066,0.0223,0.023,0.0169,0.0061,0.4268,0.043,0.0205,0.0225,301.07,42.421558307,Lubbeek,Lubbeek,Vlaams Gewest,22392
24130,24130,0.0449,0.0187,0.0104,0.0083,0.2375,0.0411,0.0195,0.0216,176.45,43.125588367,Zoutleeuw,Léau,Vlaams Gewest,18092
24134,24134,0.042,0.0228,0.0148,0.008,0.238,0.0393,0.0195,0.0198,447.75,43.897714207,Scherpenheuvel-Zichem,Montaigu-Zichem,Vlaams Gewest,18179
24086,24086,0.0265,0.0359,0.0227,0.0132,0.5014,0.0633,0.0273,0.036,353.64,41.170120864,Oud-Heverlee,Oud-Heverlee,Vlaams Gewest,23486
24094,24094,0.0301,0.0236,0.0174,0.0062,0.3812,0.0435,0.0236,0.0199,419.66,41.165112911,Rotselaar,Rotselaar,Vlaams Gewest,20682
24104,24104,0.035,0.2533,0.2092,0.0441,0.4584,0.2676,0.177,0.0906,645.1,40.567263661,Tervuren,Tervuren,Vlaams Gewest,20218
24135,24135,0.0305,0.0172,0.0098,0.0074,0.3128,0.0286,0.0136,0.0149,236.38,41.792542391,Tielt-Winge,Tielt-Winge,Vlaams Gewest,19465
24107,24107,0.0498,0.0409,0.0193,0.0216,0.2594,0.0747,0.0252,0.0495,457.02,43.528258789,Tienen,Tirlemont,Vlaams Gewest,18248
24109,24109,0.0355,0.0306,0.0237,0.0069,0.2903,0.0514,0.0292,0.0223,677.01,42.537166777,Tremelo,Tremelo,Vlaams Gewest,19601
31003,31003,0.0257,0.0131,0.0084,0.0047,0.2514,0.0242,0.0123,0.0118,212.5,42.095303345,Beernem,Beernem,Vlaams Gewest,17530
31004,31004,0.0903,0.038,0.0234,0.0146,0.1675,0.0655,0.0332,0.0323,1097.8,47.677320434,Blankenberge,Blankenberge,Vlaams Gewest,16596
31005,31005,0.0436,0.037,0.0193,0.0177,0.3118,0.0699,0.0291,0.0408,847.24,43.760691593,Brugge,Bruges,Vlaams Gewest,18442
31006,31006,0.0292,0.0166,0.0135,0.0031,0.2521,0.0346,0.0228,0.0118,121.15,43.084496059,Damme,Damme,Vlaams Gewest,17847
31012,31012,0.0287,0.0146,0.0093,0.0053,0.3111,0.0288,0.016,0.0128,255,42.028427415,Jabbeke,Jabbeke,Vlaams Gewest,19058
31043,31043,0.054,0.0525,0.0379,0.0146,0.2818,0.0813,0.0467,0.0346,602.98,49.615274969,Knokke-Heist,Knokke-Heist,Vlaams Gewest,23203
31022,31022,0.0283,0.014,0.0083,0.0057,0.279,0.0301,0.0151,0.015,283.26,41.667232532,Oostkamp,Oostkamp,Vlaams Gewest,18101
31033,31033,0.0367,0.0177,0.0091,0.0086,0.2613,0.0317,0.0145,0.0172,442,42.625718766,Torhout,Torhout,Vlaams Gewest,17270
31040,31040,0.0307,0.0122,0.0071,0.0051,0.2587,0.0272,0.0139,0.0133,370.84,41.116064592,Zedelgem,Zedelgem,Vlaams Gewest,17436
31042,31042,0.0342,0.0134,0.0087,0.0047,0.297,0.0307,0.0163,0.0145,56.63,42.163996727,Zuienkerke,Zuienkerke,Vlaams Gewest,18335
34002,34002,0.0313,0.0086,0.0052,0.0035,0.2832,0.0165,0.0091,0.0073,343.28,41.34577848,Anzegem,Anzegem,Vlaams Gewest,17634
34003,34003,0.0452,0.0186,0.011,0.0077,0.2222,0.0349,0.0176,0.0174,444.68,41.983282014,Avelgem,Avelgem,Vlaams Gewest,16670
34022,34022,0.0493,0.0612,0.0225,0.0387,0.3105,0.0985,0.028,0.0705,940.05,42.502119944,Kortrijk,Courtrai,Vlaams Gewest,17445
34009,34009,0.0305,0.0163,0.0081,0.0081,0.2664,0.0293,0.0104,0.0189,672.82,42.036959408,Deerlijk,Deerlijk,Vlaams Gewest,17194
34043,34043,0.0531,0.0522,0.0499,0.0024,0.2187,0.0771,0.0677,0.0094,197.28,38.362221842,Spiere-Helkijn,Espierres-Helchin,Vlaams Gewest,15629
34013,34013,0.0358,0.0272,0.0108,0.0164,0.2352,0.0499,0.0147,0.0352,920.35,42.071988518,Harelbeke,Harelbeke,Vlaams Gewest,16822
34023,34023,0.0347,0.0366,0.0153,0.0214,0.237,0.0597,0.0172,0.0425,1297.52,42.545310768,Kuurne,Kuurne,Vlaams Gewest,16614
34025,34025,0.0292,0.0119,0.006,0.0058,0.2495,0.023,0.0083,0.0147,429.88,42.583643926,Lendelede,Lendelede,Vlaams Gewest,17049
34027,34027,0.0565,0.0845,0.0557,0.0288,0.1848,0.1175,0.0699,0.0476,996.77,42.034089038,Menen,Menin,Vlaams Gewest,15506
34040,34040,0.0391,0.0269,0.0132,0.0137,0.2773,0.051,0.0164,0.0346,826.68,41.827043122,Waregem,Waregem,Vlaams Gewest,17432
34041,34041,0.0355,0.0178,0.0094,0.0085,0.2532,0.0365,0.016,0.0205,802.89,41.533692196,Wevelgem,Wevelgem,Vlaams Gewest,16999
34042,34042,0.0324,0.0163,0.0087,0.0076,0.2691,0.0302,0.0136,0.0165,381.69,41.626333879,Zwevegem,Zwevegem,Vlaams Gewest,17653
32003,32003,0.0336,0.0138,0.0081,0.0057,0.2189,0.0328,0.0183,0.0145,109.79,41.808299894,Diksmuide,Dixmude,Vlaams Gewest,15445
32006,32006,0.0385,0.0095,0.006,0.0035,0.1686,0.028,0.0186,0.0093,172.68,40.764390867,Houthulst,Houthulst,Vlaams Gewest,15004
32010,32010,0.0358,0.0091,0.0052,0.0039,0.1846,0.0227,0.0119,0.0107,216.08,42.177459319,Koekelare,Koekelare,Vlaams Gewest,15713
32011,32011,0.0318,0.0092,0.0062,0.003,0.1889,0.0208,0.012,0.0089,221.58,42.371556961,Kortemark,Kortemark,Vlaams Gewest,15711
32030,32030,0.0243,0.0114,0.0087,0.0027,0.2387,0.0283,0.0205,0.0078,52.75,41.412516043,Lo-Reninge,Lo-Reninge,Vlaams Gewest,14508
38002,38002,0.0268,0.0182,0.0155,0.0026,0.2212,0.0311,0.025,0.0061,61.97,40.2040459,Alveringem,Alveringem,Vlaams Gewest,14269
38025,38025,0.0379,0.0167,0.0113,0.0054,0.2327,0.0411,0.0272,0.0138,120.11,43.574677115,Veurne,Furnes,Vlaams Gewest,16352
38014,38014,0.051,0.0351,0.0252,0.0099,0.3176,0.0703,0.0422,0.0281,500.32,50.201887864,Koksijde,Koksijde,Vlaams Gewest,22685
38008,38008,0.0769,0.0793,0.0627,0.0166,0.194,0.1185,0.0854,0.0331,449.77,47.449421745,De Panne,La Panne,Vlaams Gewest,16863
38016,38016,0.061,0.0297,0.0175,0.0122,0.2057,0.0644,0.034,0.0304,367.62,47.900786736,Nieuwpoort,Nieuport,Vlaams Gewest,17253
36006,36006,0.0218,0.0157,0.0096,0.0061,0.2688,0.0279,0.0148,0.013,263.53,41.168936153,Hooglede,Hooglede,Vlaams Gewest,16578
36007,36007,0.0329,0.0291,0.0134,0.0157,0.2055,0.0422,0.0175,0.0247,665.46,42.466715526,Ingelmunster,Ingelmunster,Vlaams Gewest,16380
36008,36008,0.0371,0.0194,0.0084,0.011,0.2385,0.036,0.0129,0.0231,1071.26,42.626196282,Izegem,Izegem,Vlaams Gewest,16808
36010,36010,0.0319,0.0143,0.0055,0.0088,0.2144,0.0268,0.011,0.0157,387.87,41.479619976,Ledegem,Ledegem,Vlaams Gewest,16162
36011,36011,0.023,0.0138,0.0044,0.0094,0.2397,0.0259,0.0085,0.0174,327.86,41.513154321,Lichtervelde,Lichtervelde,Vlaams Gewest,16816
36012,36012,0.0279,0.0122,0.0087,0.0035,0.2065,0.0281,0.0162,0.0119,307.57,42.553816835,Moorslede,Moorslede,Vlaams Gewest,15792
36015,36015,0.0395,0.0362,0.0118,0.0244,0.275,0.0618,0.0179,0.044,977.56,41.624381486,Roeselare,Roulers,Vlaams Gewest,17047
36019,36019,0.0176,0.0103,0.0076,0.0027,0.2121,0.0241,0.0162,0.0079,237.46,42.074249211,Staden,Staden,Vlaams Gewest,15461
37020,37020,0.0305,0.02,0.0147,0.0053,0.2257,0.0323,0.0193,0.013,262.38,43.139818129,Ardooie,Ardooie,Vlaams Gewest,16434
37002,37002,0.0294,0.0138,0.0099,0.004,0.2293,0.0276,0.0146,0.013,320.45,41.190946133,Dentergem,Dentergem,Vlaams Gewest,16660
37007,37007,0.0276,0.024,0.0147,0.0093,0.2024,0.0384,0.0172,0.0212,378.22,41.7541036,Meulebeke,Meulebeke,Vlaams Gewest,15942
37010,37010,0.0281,0.0164,0.0095,0.0069,0.2124,0.0285,0.013,0.0155,453.98,40.964885049,Oostrozebeke,Oostrozebeke,Vlaams Gewest,16176
