NIS,NIS_code,unemployed,foreigners,euforeigners,noneuforeigners,degree,bornabroad,borneu,bornnoneu,density,age,NL,FR,Reg_NL,income
41002,41002,0.0571,0.0497,0.02,0.0297,0.2691,0.0868,0.0209,0.0659,1040.59,42.34798179,Aalst (Aalst),Alost (Alost),Vlaams Gewest,18194
41011,41011,0.0463,0.0452,0.022,0.0232,0.2428,0.0817,0.0193,0.0624,1371.46,40.843745689,Denderleeuw,Denderleeuw,Vlaams Gewest,17983
41082,41082,0.0389,0.0147,0.0071,0.0076,0.2813,0.032,0.0113,0.0207,570.63,43.163954806,Erpe-Mere,Erpe-Mere,Vlaams Gewest,19872
41018,41018,0.0458,0.0343,0.0149,0.0193,0.2182,0.058,0.0171,0.0409,407.42,42.248714257,Geraardsbergen,Grammont,Vlaams Gewest,17229
41024,41024,0.0348,0.0161,0.01,0.0061,0.2567,0.03,0.0126,0.0174,583.12,42.662972671,Haaltert,Haaltert,Vlaams Gewest,19012
41027,41027,0.0369,0.0129,0.0049,0.008,0.2528,0.0245,0.0095,0.0151,363.8,41.653497885,Herzele,Herzele,Vlaams Gewest,18843
41034,41034,0.0392,0.0112,0.0058,0.0055,0.2755,0.027,0.0102,0.0168,602.86,42.289413468,Lede,Lede,Vlaams Gewest,18616
41048,41048,0.0458,0.0333,0.0164,0.0169,0.2336,0.0587,0.0175,0.0413,511.64,41.95905198,Ninove,Ninove,Vlaams Gewest,17857
41063,41063,0.0322,0.0127,0.0083,0.0044,0.2446,0.024,0.0121,0.0119,370.31,41.957050713,Sint-Lievens-Houtem,Sint-Lievens-Houtem,Vlaams Gewest,18464
41081,41081,0.0333,0.0158,0.0083,0.0075,0.2741,0.0265,0.0114,0.0151,442.75,43.742745769,Zottegem,Zottegem,Vlaams Gewest,19497
45035,45035,0.0389,0.0298,0.0137,0.0161,0.2934,0.0468,0.0182,0.0286,441.15,42.326555917,Oudenaarde,Audenarde,Vlaams Gewest,18442
45059,45059,0.0382,0.0125,0.0078,0.0047,0.2337,0.0258,0.0118,0.014,251.33,43.396082496,Brakel,Brakel,Vlaams Gewest,18147
45062,45062,0.018,0.0159,0.0125,0.0034,0.3302,0.0259,0.0168,0.0091,185.86,43.666327463,Horebeke,Horebeke,Vlaams Gewest,18429
45060,45060,0.0334,0.0139,0.0073,0.0066,0.2526,0.0294,0.0136,0.0159,213.62,40.992161996,Kluisbergen,Kluisbergen,Vlaams Gewest,17797
45017,45017,0.0248,0.0145,0.01,0.0044,0.315,0.0238,0.0138,0.0099,174.57,41.564681615,Kruishoutem,Kruishoutem,Vlaams Gewest,18358
45063,45063,0.0336,0.0089,0.0029,0.006,0.2502,0.0215,0.0069,0.0146,248.83,42.152569944,Lierde,Lierde,Vlaams Gewest,18107
45064,45064,0.0303,0.0112,0.0068,0.0043,0.3173,0.0232,0.0108,0.0124,141.52,43.292996664,Maarkedal,Maarkedal,Vlaams Gewest,18900
45041,45041,0.0906,0.0617,0.0278,0.0339,0.2086,0.124,0.0297,0.0944,730.88,40.086178572,Ronse,Renaix,Vlaams Gewest,14311
45061,45061,0.0292,0.0135,0.0097,0.0038,0.3349,0.0239,0.0138,0.01,149.72,41.364687501,Wortegem-Petegem,Wortegem-Petegem,Vlaams Gewest,19512
45057,45057,0.0296,0.011,0.0075,0.0035,0.2849,0.0218,0.0117,0.0101,301.2,40.930058839,Zingem,Zingem,Vlaams Gewest,18371
45065,45065,0.0316,0.011,0.0077,0.0033,0.2847,0.0202,0.01,0.0102,239.52,41.642928877,Zwalm,Zwalm,Vlaams Gewest,19117
43002,43002,0.0439,0.0296,0.0217,0.0078,0.2108,0.0503,0.0338,0.0165,159.31,42.806198596,Assenede,Assenede,Vlaams Gewest,17642
43005,43005,0.063,0.0376,0.0176,0.02,0.2177,0.0632,0.0249,0.0383,676.43,42.823718077,Eeklo,Eeklo,Vlaams Gewest,16886
43007,43007,0.033,0.0206,0.016,0.0046,0.2466,0.0354,0.0241,0.0113,187.06,42.395092601,Kaprijke,Kaprijke,Vlaams Gewest,18615
43010,43010,0.0383,0.0292,0.0177,0.0115,0.2131,0.0509,0.0315,0.0194,243.95,42.343248415,Maldegem,Maldegem,Vlaams Gewest,16734
43014,43014,0.0373,0.0371,0.0332,0.004,0.2224,0.0666,0.0579,0.0087,87.87,43.646470874,Sint-Laureins,Sint-Laureins,Vlaams Gewest,17014
43018,43018,0.0578,0.0721,0.051,0.0211,0.1451,0.1123,0.0645,0.0478,918.03,42.759313721,Zelzate,Zelzate,Vlaams Gewest,16624
71002,71002,0.0592,0.0638,0.0524,0.0114,0.2601,0.0913,0.0658,0.0254,356.48,40.432614116,As,As,Vlaams Gewest,16626
71004,71004,0.0602,0.0505,0.0293,0.0211,0.2159,0.1179,0.0368,0.081,552.49,39.906721896,Beringen,Beringen,Vlaams Gewest,15550
71034,71034,0.069,0.0606,0.0351,0.0255,0.1892,0.1361,0.0689,0.0672,672.01,41.302538738,Leopoldsburg,Bourg-Léopold,Vlaams Gewest,15763
71011,71011,0.045,0.0337,0.0198,0.014,0.2848,0.0537,0.028,0.0257,443.63,41.201426477,Diepenbeek,Diepenbeek,Vlaams Gewest,17469
71016,71016,0.0933,0.1307,0.0932,0.0374,0.2021,0.204,0.0953,0.1087,740.44,40.294997273,Genk,Genk,Vlaams Gewest,14807
71017,71017,0.0413,0.0266,0.0152,0.0114,0.2223,0.0488,0.0249,0.0238,145.52,41.853724548,Gingelom,Gingelom,Vlaams Gewest,17278
71020,71020,0.0491,0.0303,0.0212,0.0091,0.2573,0.0528,0.0269,0.0259,255.05,42.324685941,Halen,Halen,Vlaams Gewest,17004
71069,71069,0.0488,0.0406,0.0275,0.0131,0.2218,0.072,0.0401,0.0319,318.05,40.879057272,Ham,Ham,Vlaams Gewest,16716
71022,71022,0.0568,0.0544,0.0266,0.0279,0.3433,0.095,0.0337,0.0612,723.11,43.107036578,Hasselt,Hasselt,Vlaams Gewest,18575
71024,71024,0.0376,0.025,0.015,0.01,0.2978,0.0421,0.0189,0.0232,286.75,41.619774039,Herk-de-Stad,Herck-la-Ville,Vlaams Gewest,17944
71070,71070,0.0601,0.0698,0.0393,0.0305,0.2393,0.1505,0.0437,0.1068,602.42,39.911220825,Heusden-Zolder,Heusden-Zolder,Vlaams Gewest,15655
71037,71037,0.0428,0.0277,0.0206,0.007,0.2709,0.0483,0.0263,0.022,268.69,42.248189396,Lummen,Lummen,Vlaams Gewest,17779
71045,71045,0.0406,0.0211,0.0118,0.0093,0.2392,0.0375,0.0169,0.0206,298.07,42.6917497,Nieuwerkerken (Hasselt),Nieuwerkerken (Hasselt),Vlaams Gewest,17337
71047,71047,0.0487,0.0542,0.0492,0.005,0.2475,0.0712,0.0512,0.0199,405.42,39.207859536,Opglabbeek,Opglabbeek,Vlaams Gewest,16158
71053,71053,0.0538,0.0533,0.0186,0.0346,0.2347,0.0915,0.0257,0.0657,375.41,43.067511,Sint-Truiden,Saint-Trond,Vlaams Gewest,17212
71057,71057,0.0445,0.0245,0.0151,0.0094,0.2521,0.0549,0.0262,0.0287,349.84,41.248766329,Tessenderlo,Tessenderlo,Vlaams Gewest,17896
71066,71066,0.05,0.0398,0.0265,0.0133,0.2785,0.0657,0.0343,0.0314,530.21,40.917740519,Zonhoven,Zonhoven,Vlaams Gewest,17278
71067,71067,0.0525,0.1082,0.0936,0.0146,0.2754,0.1336,0.1036,0.03,220.6,41.66673508,Zutendaal,Zutendaal,Vlaams Gewest,17513
72003,72003,0.0445,0.124,0.1119,0.0122,0.2051,0.1399,0.1137,0.0262,214.53,41.378680334,Bocholt,Bocholt,Vlaams Gewest,15180
72004,72004,0.0477,0.0631,0.0531,0.01,0.2667,0.0849,0.0607,0.0242,234.96,41.848588436,Bree,Bree,Vlaams Gewest,16214
72041,72041,0.0624,0.1154,0.1015,0.0139,0.2096,0.1504,0.1096,0.0408,302.84,40.598522642,Dilsen-Stokkem,Dilsen-Stokkem,Vlaams Gewest,15198
72037,72037,0.0494,0.3116,0.2983,0.0133,0.2043,0.3204,0.2869,0.0335,325.22,42.633022446,Hamont-Achel,Hamont-Achel,Vlaams Gewest,14950
72038,72038,0.0439,0.102,0.0891,0.0129,0.2463,0.1286,0.0997,0.0289,154.97,40.693291181,Hechtel-Eksel,Hechtel-Eksel,Vlaams Gewest,16315
72039,72039,0.0732,0.0949,0.0707,0.0241,0.1947,0.1513,0.073,0.0782,387.84,39.548826961,Houthalen-Helchteren,Houthalen-Helchteren,Vlaams Gewest,14912
72018,72018,0.05,0.1753,0.1678,0.0075,0.1988,0.2086,0.1875,0.0212,224.43,41.073258589,Kinrooi,Kinrooi,Vlaams Gewest,15060
72020,72020,0.0485,0.1555,0.1437,0.0117,0.234,0.1754,0.1421,0.0333,324.56,41.414214057,Lommel,Lommel,Vlaams Gewest,16173
72021,72021,0.0531,0.1419,0.1273,0.0147,0.2376,0.1689,0.132,0.0369,321.75,41.496091689,Maaseik,Maaseik,Vlaams Gewest,16258
72040,72040,0.0404,0.0559,0.0443,0.0116,0.2606,0.0675,0.0483,0.0191,141.65,40.540676701,Meeuwen-Gruitrode,Meeuwen-Gruitrode,Vlaams Gewest,16170
72025,72025,0.0523,0.179,0.1688,0.0102,0.2458,0.1931,0.1637,0.0294,387.77,41.791839049,Neerpelt,Neerpelt,Vlaams Gewest,16235
72029,72029,0.045,0.1216,0.1048,0.0169,0.2627,0.139,0.1053,0.0337,350.06,41.183726525,Overpelt,Overpelt,Vlaams Gewest,16227
72030,72030,0.0388,0.048,0.0385,0.0095,0.2484,0.0673,0.0493,0.018,186.14,40.501575989,Peer,Peer,Vlaams Gewest,16247
73001,73001,0.0368,0.0256,0.0112,0.0143,0.2954,0.047,0.0181,0.0288,401.61,41.870259988,Alken,Alken,Vlaams Gewest,17884
73006,73006,0.0548,0.0636,0.0461,0.0175,0.2592,0.0947,0.0518,0.0429,411.98,41.260061084,Bilzen,Bilzen,Vlaams Gewest,16419
73109,73109,0.043,0.276,0.2608,0.0152,0.2315,0.3031,0.2733,0.0298,82.96,42.497195132,Voeren,Fourons,Vlaams Gewest,16158
73022,73022,0.053,0.034,0.0186,0.0154,0.2018,0.0549,0.025,0.0298,133.91,42.650013481,Heers,Heers,Vlaams Gewest,16155
73028,73028,0.0465,0.0353,0.0353,.,0.2836,0.0588,0.0471,0.0118,62.75,46.056159408,Herstappe,Herstappe,Vlaams Gewest,19501
73032,73032,0.0462,0.0291,0.021,0.0081,0.2526,0.049,0.028,0.021,320.04,41.532580016,Hoeselt,Hoeselt,Vlaams Gewest,16889
73040,73040,0.0572,0.0248,0.0181,0.0067,0.2791,0.0479,0.026,0.0218,245.9,41.304443434,Kortessem,Kortessem,Vlaams Gewest,17699
73042,73042,0.0607,0.301,0.2754,0.0256,0.2176,0.3206,0.2751,0.0454,436.93,42.435798193,Lanaken,Lanaken,Vlaams Gewest,17080
73009,73009,0.0426,0.0381,0.0225,0.0157,0.2364,0.061,0.0255,0.0355,204.88,43.510802285,Borgloon,Looz,Vlaams Gewest,16966
73107,73107,0.0968,0.1903,0.1621,0.0283,0.166,0.248,0.1569,0.0911,488.01,40.462201088,Maasmechelen,Maasmechelen,Vlaams Gewest,14223
73066,73066,0.0436,0.1883,0.1791,0.0092,0.2482,0.2037,0.178,0.0256,280.46,42.569025332,Riemst,Riemst,Vlaams Gewest,16179
73083,73083,0.0595,0.0491,0.0332,0.0159,0.2417,0.0781,0.0421,0.0359,346.89,43.397754942,Tongeren,Tongres,Vlaams Gewest,17076
73098,73098,0.0511,0.0206,0.0126,0.008,0.2322,0.0358,0.0176,0.0183,276.6,41.571790823,Wellen,Wellen,Vlaams Gewest,17372
12002,12002,0.0436,0.0197,0.0121,0.0076,0.249,0.0373,0.0156,0.0217,443.6,42.614884236,Berlaar,Berlaar,Vlaams Gewest,17530
12005,12005,0.0329,0.0264,0.019,0.0074,0.3967,0.0471,0.0243,0.0227,501.8,44.05872316,Bonheiden,Bonheiden,Vlaams Gewest,21958
12007,12007,0.0383,0.0186,0.011,0.0076,0.2733,0.0388,0.0148,0.024,453.23,42.319410836,Bornem,Bornem,Vlaams Gewest,19399
12009,12009,0.0356,0.0284,0.0168,0.0116,0.3055,0.0474,0.0219,0.0254,738.76,41.863366286,Duffel,Duffel,Vlaams Gewest,18778
12014,12014,0.0461,0.018,0.0102,0.0078,0.2423,0.0322,0.0148,0.0173,465.89,42.722430497,Heist-op-den-Berg,Heist-op-den-Berg,Vlaams Gewest,17737
12021,12021,0.052,0.0462,0.0202,0.026,0.2877,0.0778,0.027,0.0508,688.09,42.542602259,Lier,Lierre,Vlaams Gewest,18303
12025,12025,0.0665,0.0935,0.0292,0.0643,0.3153,0.1526,0.0316,0.121,1261.05,39.948105258,Mechelen,Malines,Vlaams Gewest,17528
12026,12026,0.0427,0.0141,0.0084,0.0057,0.2582,0.0283,0.0137,0.0146,558.51,42.131314825,Nijlen,Nijlen,Vlaams Gewest,17716
12029,12029,0.0408,0.0216,0.0124,0.0092,0.2585,0.0348,0.0143,0.0205,474.66,42.886448403,Putte,Putte,Vlaams Gewest,18079
12030,12030,0.027,0.0186,0.0096,0.009,0.2931,0.0367,0.0132,0.0236,497.83,41.59740228,Puurs,Puurs,Vlaams Gewest,19318
12034,12034,0.0334,0.0247,0.0122,0.0125,0.2838,0.0534,0.0136,0.0398,523.18,41.760925914,Sint-Amands,Sint-Amands,Vlaams Gewest,18400
12035,12035,0.0347,0.0303,0.0209,0.0094,0.3076,0.0523,0.0239,0.0284,563.79,42.094371497,Sint-Katelijne-Waver,Sint-Katelijne-Waver,Vlaams Gewest,19092
12040,12040,0.0599,0.0483,0.0181,0.0303,0.2373,0.1062,0.0228,0.0833,896.5,40.738784627,Willebroek,Willebroek,Vlaams Gewest,17255
13001,13001,0.0542,0.1575,0.1195,0.038,0.2102,0.1684,0.12,0.0485,238.83,39.851614876,Arendonk,Arendonk,Vlaams Gewest,16072
13002,13002,0.0417,0.4844,0.4714,0.0131,0.1799,0.4637,0.4349,0.0288,348.05,40.22839496,Baarle-Hertog,Baerle-Duc,Vlaams Gewest,15240
13003,13003,0.0518,0.0458,0.0391,0.0067,0.2259,0.0602,0.0429,0.0173,292.79,41.573462052,Balen,Balen,Vlaams Gewest,16824
13004,13004,0.0487,0.0503,0.042,0.0083,0.2514,0.0617,0.0426,0.0191,455.07,39.76031393,Beerse,Beerse,Vlaams Gewest,18112
13006,13006,0.0446,0.0455,0.0394,0.0061,0.2146,0.0612,0.0434,0.0177,339.8,41.223373006,Dessel,Dessel,Vlaams Gewest,16608
13008,13008,0.0491,0.0467,0.029,0.0177,0.2946,0.0674,0.0293,0.0382,341.64,41.731207565,Geel,Geel,Vlaams Gewest,18219
13010,13010,0.0486,0.0236,0.0183,0.0053,0.2672,0.0427,0.0244,0.0183,389.89,42.059225386,Grobbendonk,Grobbendonk,Vlaams Gewest,18430
13011,13011,0.0559,0.0366,0.0197,0.0169,0.2554,0.0618,0.0268,0.035,559.69,42.519214102,Herentals,Herentals,Vlaams Gewest,18073
13012,13012,0.0439,0.0264,0.0181,0.0084,0.2223,0.0372,0.0219,0.0153,371.16,42.504509747,Herenthout,Herenthout,Vlaams Gewest,17018
13013,13013,0.0499,0.0221,0.0161,0.006,0.2201,0.0358,0.0206,0.0152,275.23,43.157920446,Herselt,Herselt,Vlaams Gewest,17464
13014,13014,0.0302,0.2425,0.23,0.0126,0.2371,0.2462,0.2206,0.0256,190.58,40.404679263,Hoogstraten,Hoogstraten,Vlaams Gewest,16434
13016,13016,0.0555,0.0174,0.0103,0.0071,0.2173,0.035,0.0166,0.0184,575.71,41.406803823,Hulshout,Hulshout,Vlaams Gewest,17623
13017,13017,0.0393,0.0336,0.0267,0.0069,0.2709,0.0472,0.029,0.0182,254.03,41.378561076,Kasterlee,Kasterlee,Vlaams Gewest,18369
13053,13053,0.0456,0.0221,0.0175,0.0046,0.2062,0.038,0.025,0.013,363.41,42.394277539,Laakdal,Laakdal,Vlaams Gewest,17512
13019,13019,0.0419,0.0267,0.0203,0.0065,0.2508,0.0357,0.0224,0.0133,276.02,40.648471261,Lille,Lille,Vlaams Gewest,17732
13021,13021,0.0501,0.0271,0.0169,0.0102,0.2296,0.0377,0.0188,0.0188,270.54,42.40972497,Meerhout,Meerhout,Vlaams Gewest,17261
13023,13023,0.0351,0.0786,0.0623,0.0162,0.2463,0.0906,0.0657,0.0249,193.92,39.530198273,Merksplas,Merksplas,Vlaams Gewest,16745
13025,13025,0.0529,0.0774,0.0566,0.0208,0.2943,0.1018,0.0548,0.047,302.21,42.216362771,Mol,Mol,Vlaams Gewest,17780
13029,13029,0.0476,0.0194,0.0109,0.0086,0.2464,0.0355,0.0159,0.0196,508.92,40.677879002,Olen,Olen,Vlaams Gewest,17782
13031,13031,0.0426,0.1196,0.1125,0.007,0.2714,0.1283,0.1073,0.021,333.13,42.549870011,Oud-Turnhout,Oud-Turnhout,Vlaams Gewest,18794
13035,13035,0.0428,0.3016,0.2889,0.0127,0.1905,0.2954,0.2697,0.0257,152.17,41.311652052,Ravels,Ravels,Vlaams Gewest,16474
13036,13036,0.0414,0.0859,0.0755,0.0104,0.2461,0.0928,0.072,0.0208,224.04,40.830044349,Retie,Retie,Vlaams Gewest,16925
13037,13037,0.0395,0.0535,0.0466,0.0069,0.191,0.064,0.0496,0.0144,241.38,39.918069989,Rijkevorsel,Rijkevorsel,Vlaams Gewest,16089
13040,13040,0.0777,0.1125,0.0755,0.0371,0.2514,0.1521,0.0726,0.0795,738.18,41.982245749,Turnhout,Turnhout,Vlaams Gewest,16707
13044,13044,0.0567,0.0158,0.0115,0.0042,0.243,0.029,0.0148,0.0142,273.69,41.303104754,Vorselaar,Vorselaar,Vlaams Gewest,18030
13046,13046,0.0412,0.0525,0.0434,0.009,0.2941,0.0658,0.042,0.0238,886.31,41.042687772,Vosselaar,Vosselaar,Vlaams Gewest,19611
13049,13049,0.0465,0.0246,0.0161,0.0085,0.2563,0.0411,0.0194,0.0217,439.39,41.494638749,Westerlo,Westerlo,Vlaams Gewest,18028
11001,11001,0.0308,0.0324,0.0187,0.0137,0.3474,0.0622,0.0241,0.038,1311.99,44.04733483,Aartselaar,Aartselaar,Vlaams Gewest,21885
11002,11002,0.099,0.1788,0.0795,0.0993,0.2564,0.2576,0.0732,0.1844,2437.35,39.834813961,Antwerpen,Anvers,Vlaams Gewest,14834
11004,11004,0.0341,0.0301,0.0166,0.0135,0.3782,0.0492,0.0218,0.0274,617.96,41.518498655,Boechout,Boechout,Vlaams Gewest,20050
11005,11005,0.0627,0.0772,0.0335,0.0438,0.2092,0.1354,0.033,0.1024,2313.8,40.615628892,Boom,Boom,Vlaams Gewest,15940
11007,11007,0.0489,0.0646,0.0358,0.0288,0.2483,0.0939,0.0366,0.0573,2611.86,42.056841112,Borsbeek,Borsbeek,Vlaams Gewest,18132
11008,11008,0.0395,0.0882,0.0692,0.019,0.3254,0.1135,0.0725,0.041,967.82,43.602001748,Brasschaat,Brasschaat,Vlaams Gewest,20684
11009,11009,0.036,0.0495,0.0426,0.0069,0.2411,0.0658,0.046,0.0198,306.58,40.682056931,Brecht,Brecht,Vlaams Gewest,18742
11013,11013,0.039,0.0508,0.0274,0.0234,0.3855,0.09,0.0335,0.0565,2447.7,44.537157326,Edegem,Edegem,Vlaams Gewest,21313
11016,11016,0.0388,0.2093,0.1927,0.0166,0.2354,0.2271,0.1921,0.035,378.31,40.558166583,Essen,Essen,Vlaams Gewest,16472
11018,11018,0.0436,0.034,0.0167,0.0173,0.2161,0.0682,0.0237,0.0446,1902.47,40.453783774,Hemiksem,Hemiksem,Vlaams Gewest,17059
11021,11021,0.0351,0.0223,0.0153,0.0071,0.4668,0.0464,0.0215,0.0249,1369.31,43.034872144,Hove (Antwerpen),Hove (Anvers),Vlaams Gewest,23019
11022,11022,0.0321,0.1088,0.099,0.0098,0.32,0.1247,0.0999,0.0247,302.12,41.5650161,Kalmthout,Kalmthout,Vlaams Gewest,18324
11023,11023,0.0416,0.1018,0.0742,0.0276,0.3141,0.1273,0.0809,0.0463,725.62,43.303487899,Kapellen (Antwerpen),Kapellen (Anvers),Vlaams Gewest,20823
11024,11024,0.0352,0.0342,0.0191,0.0151,0.3537,0.0613,0.0253,0.036,871.65,41.575653669,Kontich,Kontich,Vlaams Gewest,20634
11025,11025,0.0301,0.0331,0.0103,0.0229,0.3681,0.0536,0.019,0.0346,1556.12,39.485124919,Lint,Lint,Vlaams Gewest,20066
11057,11057,0.0327,0.0375,0.028,0.0095,0.2868,0.0516,0.0292,0.0223,281.71,41.219005568,Malle,Malle,Vlaams Gewest,17783
11029,11029,0.0481,0.0574,0.0304,0.0271,0.3916,0.0897,0.0333,0.0564,3198.41,42.219131375,Mortsel,Mortsel,Vlaams Gewest,19308
11030,11030,0.0432,0.0321,0.0181,0.014,0.1885,0.0578,0.0252,0.0326,1784.93,40.399108606,Niel,Niel,Vlaams Gewest,16755
11035,11035,0.029,0.0393,0.0132,0.0262,0.3166,0.0522,0.0166,0.0355,431.47,41.515074616,Ranst,Ranst,Vlaams Gewest,19420
11037,11037,0.0334,0.024,0.0124,0.0115,0.2853,0.0474,0.0192,0.0282,742.57,41.916371381,Rumst,Rumst,Vlaams Gewest,19684
11038,11038,0.0309,0.0214,0.0127,0.0086,0.25,0.0377,0.0167,0.021,1038.33,41.275038415,Schelle,Schelle,Vlaams Gewest,18816
11039,11039,0.038,0.0873,0.0772,0.0101,0.3898,0.1089,0.0763,0.0326,540.19,44.497852184,Schilde,Schilde,Vlaams Gewest,22840
11040,11040,0.0505,0.0572,0.0415,0.0157,0.2738,0.0893,0.0463,0.043,1137.48,42.795274732,Schoten,Schoten,Vlaams Gewest,19385
11044,11044,0.0433,0.0326,0.0261,0.0065,0.208,0.0609,0.0392,0.0217,835.24,40.320302881,Stabroek,Stabroek,Vlaams Gewest,19459
11050,11050,0.0356,0.0382,0.025,0.0133,0.2884,0.0626,0.0293,0.0334,1152.08,43.629337124,Wijnegem,Wijnegem,Vlaams Gewest,18948
11052,11052,0.0374,0.04,0.0235,0.0165,0.2637,0.0661,0.0271,0.039,953.75,42.315732231,Wommelgem,Wommelgem,Vlaams Gewest,18830
11053,11053,0.0354,0.0734,0.0648,0.0085,0.2221,0.0868,0.0671,0.0197,216.77,39.62109417,Wuustwezel,Wuustwezel,Vlaams Gewest,16991
11054,11054,0.0342,0.0222,0.0159,0.0063,0.2934,0.036,0.0199,0.0161,312.74,42.577903058,Zandhoven,Zandhoven,Vlaams Gewest,19129
11055,11055,0.0322,0.0371,0.0283,0.0088,0.3397,0.0576,0.0341,0.0235,555.1,42.505260404,Zoersel,Zoersel,Vlaams Gewest,19846
11056,11056,0.0475,0.0351,0.0197,0.0154,0.2274,0.0682,0.0284,0.0398,1048.17,42.43362694,Zwijndrecht,Zwijndrecht,Vlaams Gewest,18994
25005,25005,0.0638,0.0541,0.0436,0.0105,0.4117,0.097,0.055,0.042,174.73,40.009925274,Bevekom,Beauvechain,Waals Gewest,19896
25015,25015,0.0828,0.0654,0.0552,0.0102,0.3482,0.1066,0.0567,0.0499,433.65,40.606801362,Kasteelbrakel,Braine-le-Château,Waals Gewest,18924
25014,25014,0.074,0.0853,0.0686,0.0166,0.4021,0.1357,0.0684,0.0673,740.13,40.859511366,Eigenbrakel,Braine-l’Alleud,Waals Gewest,19659
25117,25117,0.0745,0.0422,0.0314,0.0109,0.427,0.0981,0.0392,0.0588,223.39,37.806727853,Chastre,Chastre,Waals Gewest,18795
25018,25018,0.0759,0.0561,0.047,0.0091,0.4809,0.1037,0.0526,0.0512,238.97,39.338172677,Chaumont-Gistoux,Chaumont-Gistoux,Waals Gewest,20939
25023,25023,0.0752,0.0688,0.0496,0.0192,0.4257,0.1321,0.0555,0.0766,373.4,38.059311352,Court-Saint-Etienne,Court-Saint-Etienne,Waals Gewest,18446
25031,25031,0.0784,0.0555,0.0428,0.0127,0.3734,0.1006,0.0494,0.0512,166.49,39.835341657,Genepiën,Genappe,Waals Gewest,19049
25037,25037,0.0679,0.0628,0.053,0.0098,0.4204,0.1137,0.0598,0.0539,230.41,40.636241969,Graven,Grez-Doiceau,Waals Gewest,20178
25118,25118,0.0718,0.0427,0.0327,0.01,0.2613,0.07,0.0367,0.0333,193.28,40.584888178,Hélécine,Hélécine,Waals Gewest,17624
25043,25043,0.0676,0.044,0.0354,0.0086,0.3812,0.0812,0.0421,0.0391,125.39,39.23022011,Incourt,Incourt,Waals Gewest,19671
25044,25044,0.0647,0.0604,0.0502,0.0102,0.3718,0.0872,0.0515,0.0356,184.99,39.939443517,Itter,Ittre,Waals Gewest,18749
25048,25048,0.0821,0.0605,0.0349,0.0256,0.3243,0.0984,0.0412,0.0572,183.2,40.003656826,Geldenaken,Jodoigne,Waals Gewest,18149
25050,25050,0.0701,0.1609,0.1348,0.0261,0.4855,0.2085,0.1222,0.0863,479.54,41.452968669,Terhulpen,La Hulpe,Waals Gewest,20376
25119,25119,0.0698,0.1225,0.105,0.0175,0.5324,0.1668,0.1023,0.0645,298.17,41.496691068,Lasne,Lasne,Waals Gewest,22890
25068,25068,0.068,0.0457,0.0344,0.0113,0.4417,0.0988,0.045,0.0538,370.14,37.97707407,Mont-Saint-Guibert,Mont-Saint-Guibert,Waals Gewest,19628
25072,25072,0.0962,0.069,0.0514,0.0176,0.3661,0.1247,0.06,0.0647,436.37,41.541222123,Nijvel,Nivelles,Waals Gewest,18954
25120,25120,0.0712,0.0364,0.0275,0.009,0.3186,0.0714,0.0359,0.0354,163.72,39.855149315,Orp-Jauche,Orp-Jauche,Waals Gewest,17852
25121,25121,0.0874,0.1273,0.0649,0.0623,0.499,0.219,0.0717,0.1473,941.64,38.052471378,Ottignies-Louvain-la-Neuve,Ottignies-Louvain-la-Neuve,Waals Gewest,17827
25084,25084,0.0629,0.0396,0.0317,0.0079,0.3495,0.0716,0.0396,0.032,159.48,38.58622199,Perwijs (Nijvel),Perwez (Nivelles),Waals Gewest,18934
25122,25122,0.0759,0.031,0.0247,0.0063,0.3393,0.0594,0.0303,0.029,126.58,38.582552121,Ramillies,Ramillies,Waals Gewest,17986
25123,25123,0.0927,0.0873,0.0779,0.0094,0.2738,0.105,0.0714,0.0336,271.08,39.04853321,Rebecq,Rebecq,Waals Gewest,16956
25091,25091,0.0774,0.1118,0.0894,0.0224,0.4816,0.1629,0.0887,0.0741,1255.12,41.578430895,Rixensart,Rixensart,Waals Gewest,21237
25105,25105,0.114,0.1454,0.121,0.0244,0.2078,0.1805,0.0997,0.0808,730.47,39.619337882,Tubeke,Tubize,Waals Gewest,15482
25107,25107,0.0633,0.0405,0.0332,0.0074,0.3929,0.0826,0.0421,0.0405,214.2,38.671556959,Villers-la-Ville,Villers-la-Ville,Waals Gewest,18736
25124,25124,0.0601,0.0338,0.0258,0.0081,0.4452,0.0683,0.0341,0.0341,169.84,38.184440175,Walhain,Walhain,Waals Gewest,20089
25110,25110,0.0785,0.189,0.1414,0.0477,0.47,0.2526,0.1328,0.1198,1412.35,42.333959069,Waterloo,Waterloo,Waals Gewest,20539
25112,25112,0.0863,0.0788,0.0579,0.0209,0.3861,0.1476,0.0653,0.0823,793.4,41.610703624,Waver,Wavre,Waals Gewest,18860
52074,52074,0.149,0.1311,0.1038,0.0273,0.2053,0.1561,0.0958,0.0603,479.93,40.766226318,Aiseau-Presles,Aiseau-Presles,Waals Gewest,14487
52010,52010,0.1661,0.161,0.1471,0.0139,0.1743,0.1517,0.1197,0.032,797.55,40.279244425,Chapelle-lez-Herlaimont,Chapelle-lez-Herlaimont,Waals Gewest,14105
52011,52011,0.212,0.1499,0.0959,0.054,0.1609,0.182,0.0867,0.0953,1999.95,40.032920761,Charleroi,Charleroi,Waals Gewest,12497
